rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
9.02,0.05,11186,285281,25,105.86,3010,71070,0.4153795540332794,0.0001,,
8.66,0.05,11231,286401,25,104.34,3020,71350,0.05604085326194763,0.0001,,
8.66,0.05,11266,287265,25,104.06,3030,71566,0.049902983009815216,0.0001,,
8.67,0.05,11322,288637,25,104.11,3040,71909,0.03655364364385605,0.0001,,
8.64,0.05,11359,289465,25,102.02,3050,72116,0.046906981617212296,0.0001,,
8.62,0.05,11406,290636,25,101.51,3060,72408,0.22569741308689117,0.0001,,
8.6,0.05,11444,291577,25,101.77,3070,72644,0.05847976729273796,0.0001,,
8.77,0.05,11488,292655,25,104.16,3080,72913,0.13807572424411774,0.0001,,
8.72,0.05,11527,293598,25,103.22,3090,73149,0.17209647595882416,0.0001,,
8.8,0.05,11577,294840,25,106.27,3100,73459,0.06183098256587982,0.0001,,
