rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
94.53,0.6164383599999999,4.35,1641,59,1510,96859,0.0001,0.029286932200193405,23964,,
95.07,0.61213384,4.28,1659,59,1520,97946,0.0001,0.03049090877175331,24236,,
90.39,0.6100112799999999,4.29,1668,59,1530,98482,0.0001,0.21255798637866974,24370,,
91.82,0.60696208,4.44,1681,59,1540,99252,0.0001,0.032888688147068024,24562,,
,0.60400396,,,,,100000,0.0001,0.23531097173690796,24749,4.8,40.0
97.67,0.6017309199999998,4.66,1705,58,1550,100573,0.0001,0.0315166637301445,24893,,
99.12,0.5974303599999999,4.79,1724,58,1560,101659,0.0001,0.028504597023129463,25164,,
96.43,0.59453956,4.69,1736,58,1570,102389,0.0001,0.3203083872795105,25347,,
100.42,0.5887064799999999,4.85,1761,58,1580,103862,0.0001,0.030665123835206032,25715,,
97.24,0.58577608,4.59,1774,58,1590,104602,0.0001,0.040155380964279175,25900,,
98.23,0.58064392,4.68,1796,58,1600,105898,0.0001,0.14972367882728577,26224,,
101.93,0.5760740800000002,4.87,1815,58,1610,107052,0.0001,0.03393975645303726,26512,,
101.99,0.5717458,4.93,1834,58,1620,108145,0.0001,0.03127078711986542,26786,,
107.03,0.5676274000000001,5.13,1852,58,1630,109185,0.0001,0.29541271924972534,27046,,
106.69,0.5647128400000001,5.12,1864,58,1640,109921,0.0001,0.0393381342291832,27230,,
99.3,0.56240812,4.87,1874,58,1650,110503,0.0001,0.03547235578298569,27375,,
94.61,0.5599648,4.77,1885,58,1660,111120,0.0001,0.02617562748491764,27529,,
97.76,0.5558266,4.81,1903,58,1670,112165,0.0001,0.028392432257533073,27791,,
91.8,0.5523536800000002,4.57,1918,58,1680,113042,0.0001,0.03845018520951271,28010,,
94.62,0.54830656,4.72,1935,58,1690,114064,0.0001,0.3710225820541382,28265,,
97.83,0.5419032399999999,4.73,1963,58,1700,115681,0.0001,0.5405178666114807,28670,,
96.05,0.53803828,4.61,1982,58,1710,116657,0.0001,0.11913640052080154,28914,,
95.41,0.53396344,4.65,1999,58,1720,117686,0.0001,0.06252942234277725,29171,,
92.37,0.53104888,4.46,2013,58,1730,118422,0.0001,0.5064499378204346,29355,,
